index,Rent,SurfaceArea,RoomsNumber,Address,RentPerArea,RentPerRoom,AreaPerRoom,ZipCode,City
144,4000.0,88.0,4.5,"Schwendenweg 6, 8003 Zurich",45.45454545454545,888.8888888888889,19.555555555555557,6,Zurich
145,9140.0,230.0,7.5,"Plattenstr. 34, 8032 Zurich",39.73913043478261,1218.6666666666667,30.666666666666668,34,Zurich
146,2160.0,90.0,3.0,"Dennlerstr. 24, 8047 Zurich",24.0,720.0,30.0,24,Zurich
147,1910.0,76.0,2.0,"Schlossgasse 5, 8003 Zurich",25.13157894736842,955.0,38.0,5,Zurich
148,4000.0,99.0,3.0,"Schulhausstrasse 53, 8002 Zurich",40.4040404040404,1333.3333333333333,33.0,53,Zurich
149,2270.0,55.0,2.0,"Aemtlerstr. 18, 8003 Zurich",41.27272727272727,1135.0,27.5,18,Zurich
150,3280.0,105.0,3.0,"Forchstrasse 131, 8032 Zurich",31.238095238095237,1093.3333333333333,35.0,131,Zurich
151,3290.0,160.0,6.0,"Eierbrechtstrasse 51 53 55, 8053 Zurich",20.5625,548.3333333333334,26.666666666666668,55,Zurich
152,4450.0,130.0,5.0,"Schulhausstrasse 47, 8002 Zurich",34.23076923076923,890.0,26.0,47,Zurich
153,2020.0,28.0,2.0,"Universitätsstrasse 110, 8006 Zurich",72.14285714285714,1010.0,14.0,110,Zurich
154,4540.0,134.0,4.5,"Oerlikonerstrasse 87, 8057 Zurich",33.88059701492537,1008.8888888888889,29.77777777777778,87,Zurich
155,3800.0,101.0,3.0,"Hochfarbstrasse 14, 8006 Zurich",37.62376237623762,1266.6666666666667,33.666666666666664,14,Zurich
156,3050.0,88.0,3.0,"Brauerstrasse 29, 8004 Zurich",34.65909090909091,1016.6666666666666,29.333333333333332,29,Zurich
157,3310.0,103.0,3.5,"Stampfenbachstr. 131, 8006 Zurich",32.13592233009709,945.7142857142857,29.428571428571427,131,Zurich
158,2390.0,70.0,2.0,"Herrligstrasse 34, 8048 Zurich",34.142857142857146,1195.0,35.0,34,Zurich
159,5660.0,191.0,7.5,"Eggbühlstrasse 9, 8050 Zurich",29.63350785340314,754.6666666666666,25.466666666666665,9,Zurich
160,2840.0,119.0,5.0,"Riedenhaldenstrasse 18, 8046 Zurich",23.865546218487395,568.0,23.8,18,Zurich
161,7710.0,200.0,7.5,"Bremgartnerstrasse 51, 8003 Zurich",38.55,1028.0,26.666666666666668,51,Zurich
162,9590.0,190.0,6.5,"Genferstr. 24, 8002 Zurich",50.473684210526315,1475.3846153846155,29.23076923076923,24,Zurich
163,6090.0,170.0,7.5,"Flühgasse 9, 8008 Zurich",35.8235294117647,812.0,22.666666666666668,9,Zurich
164,3970.0,154.0,4.5,"Badenerstrasse 843, 8048 Zurich",25.77922077922078,882.2222222222222,34.22222222222222,843,Zurich
165,5800.0,158.0,6.5,"St. Urbangasse 8, 8001 Zurich",36.70886075949367,892.3076923076923,24.307692307692307,8,Zurich
166,8030.0,290.0,11.5,"Scheideggstrasse 70, 8002 Zurich",27.689655172413794,698.2608695652174,25.217391304347824,70,Zurich
167,3840.0,185.0,6.0,"Albisstrasse 10, 8038 Zurich",20.756756756756758,640.0,30.833333333333332,10,Zurich
168,3970.0,92.0,3.5,"Russenweg 6a, 8008 Zurich",43.15217391304348,1134.2857142857142,26.285714285714285,6a,Zurich
169,7740.0,190.0,7.5,"Drusbergstrasse 65, 8053 Zurich",40.73684210526316,1032.0,25.333333333333332,65,Zurich
170,5290.0,163.0,5.0,"Hadlaubstrasse 26, 8044 Zurich",32.45398773006135,1058.0,32.6,26,Zurich
171,5920.0,179.0,3.0,"Hohlstrasse 212, 8004 Zurich",33.072625698324025,1973.3333333333333,59.666666666666664,212,Zurich
172,5040.0,148.0,4.5,"Bellariastrasse 11, 8002 Zurich",34.054054054054056,1120.0,32.888888888888886,11,Zurich
173,3400.0,101.0,3.0,"Wildbachstrasse 60, 8008 Zurich",33.663366336633665,1133.3333333333333,33.666666666666664,60,Zurich
174,4300.0,179.0,6.5,"Tuchmacherstrasse 34, 8041 Zurich",24.022346368715084,661.5384615384615,27.53846153846154,34,Zurich
175,7380.0,250.0,7.5,"Mühlebachstrasse 72, 8008 Zurich",29.52,984.0,33.333333333333336,72,Zurich
176,1900.0,55.0,2.0,"Universitätstr. 73, 8006 Zurich",34.54545454545455,950.0,27.5,73,Zurich
177,2980.0,115.0,5.0,"Speerstrasse 47, 8038 Zurich",25.91304347826087,596.0,23.0,47,Zurich
178,6850.0,190.0,6.5,"Limmatstrasse 258, 8005 Zurich",36.05263157894737,1053.8461538461538,29.23076923076923,258,Zurich
179,9090.0,240.0,11.0,"Bergstrasse 76, 8032 Zurich",37.875,826.3636363636364,21.818181818181817,76,Zurich
180,7150.0,180.0,9.0,"Neptunstrasse 88, 8032 Zurich",39.72222222222222,794.4444444444445,20.0,88,Zurich
181,2870.0,115.0,5.0,"Ziegelstrasse 20, 8038 Zurich",24.956521739130434,574.0,23.0,20,Zurich
182,3130.0,113.0,4.5,"Vulkanstrasse 110c, 8048 Zurich",27.699115044247787,695.5555555555555,25.11111111111111,110c,Zurich
183,4740.0,154.0,6.5,"Schöneggstrasse 15, 8004 Zurich",30.77922077922078,729.2307692307693,23.692307692307693,15,Zurich
184,5940.0,185.0,6.5,"Seestrasse 293, 8038 Zurich",32.108108108108105,913.8461538461538,28.46153846153846,293,Zurich
185,2490.0,105.0,4.5,"Heerenschürlistrasse 6, 8051 Zurich",23.714285714285715,553.3333333333334,23.333333333333332,6,Zurich
186,3800.0,132.0,4.5,"Salerstrasse 23/Tramstrasse 18, 8050 Zurich",28.78787878787879,844.4444444444445,29.333333333333332,18,Zurich
187,12220.0,270.0,7.5,"Freiestrasse 182A, 8032 Zurich",45.25925925925926,1629.3333333333333,36.0,182A,Zurich
188,4320.0,179.0,6.5,"Maneggplatz 14, 8041 Zurich",24.134078212290504,664.6153846153846,27.53846153846154,14,Zurich
189,3280.0,117.0,4.5,"Restelbergstrasse 83, 8044 Zurich",28.034188034188034,728.8888888888889,26.0,83,Zurich
190,3250.0,130.0,5.0,"Hardaustrasse 21, 8003 Zurich",25.0,650.0,26.0,21,Zurich
191,5330.0,191.0,4.5,"Zurlindenstrasse 111, 8003 Zurich",27.905759162303664,1184.4444444444443,42.44444444444444,111,Zurich
192,8570.0,190.0,9.5,"Volkmarstrasse 4, 8006 Zurich",45.10526315789474,902.1052631578947,20.0,4,Zurich
193,4510.0,148.0,6.5,"Triemlistrasse 153, 8047 Zurich",30.472972972972972,693.8461538461538,22.76923076923077,153,Zurich
194,3700.0,144.0,6.5,"Im Glockenacker 59, 8053 Zurich",25.694444444444443,569.2307692307693,22.153846153846153,59,Zurich
195,6950.0,160.0,6.0,"Landoltstrasse 3, 8006 Zurich",43.4375,1158.3333333333333,26.666666666666668,3,Zurich
196,5330.0,189.0,4.5,"Zurlindenstrasse 111, 8003 Zurich",28.201058201058203,1184.4444444444443,42.0,111,Zurich
197,6350.0,173.0,4.5,"Klausstrasse 23, 8008 Zurich",36.70520231213873,1411.111111111111,38.44444444444444,23,Zurich
198,3230.0,136.0,5.0,"Renggerstrasse 57, 8038 Zurich",23.75,646.0,27.2,57,Zurich
199,7430.0,140.0,6.0,"Gladbachstrasse 43, 8044 Zurich",53.07142857142857,1238.3333333333333,23.333333333333332,43,Zurich
200,9160.0,160.0,6.5,"Zollikerstrasse 147, 8008 Zurich",57.25,1409.2307692307693,24.615384615384617,147,Zurich
201,10980.0,230.0,7.5,"Stadelhoferstrasse 38, 8001 Zurich",47.73913043478261,1464.0,30.666666666666668,38,Zurich
202,2410.0,47.0,3.5,"Herrligweg 9, 8048 Zurich",51.276595744680854,688.5714285714286,13.428571428571429,9,Zurich
203,9760.0,150.0,8.0,"Clausiusstrasse 60, 8006 Zurich",65.06666666666666,1220.0,18.75,60,Zurich
204,4130.0,183.0,7.5,"Dennlerstr. 24, 8047 Zurich",22.56830601092896,550.6666666666666,24.4,24,Zurich
