price,size,rooms,address
" CHF 4,430.– / month",128m² living space ,5 rooms ,"Schulhausstrasse 47, 8002 Zürich"
" CHF 2,010.– / month",28m² living space ,2 rooms ,"Universitätsstrasse 110, 8006 Zürich"
" CHF 4,520.– / month",132m² living space ,4.5 rooms ,"Oerlikonerstrasse 87, 8057 Zürich"
" CHF 3,780.– / month",99m² living space ,3 rooms ,"Hochfarbstrasse 14, 8006 Zürich"
" CHF 3,040.– / month",86m² living space ,3 rooms ,"Brauerstrasse 29, 8004 Zürich"
" CHF 3,300.– / month",101m² living space ,3.5 rooms ,"Stampfenbachstr. 131, 8006 Zürich"
" CHF 2,380.– / month",69m² living space ,2 rooms ,"Herrligstrasse 34, 8048 Zürich"
" CHF 5,640.– / month",187m² living space ,7.5 rooms ,"Eggbühlstrasse 9, 8050 Zürich"
" CHF 2,830.– / month",116m² living space ,5 rooms ,"Riedenhaldenstrasse 18, 8046 Zürich"
" CHF 7,680.– / month",200m² living space ,7.5 rooms ,"Bremgartnerstrasse 51, 8003 Zürich"
" CHF 9,550.– / month",190m² living space ,5.5 rooms ,"Genferstr. 24, 8002 Zürich"
" CHF 6,060.– / month",170m² living space ,7.5 rooms ,"Flühgasse 9, 8008 Zürich"
" CHF 3,960.– / month",151m² living space ,4.5 rooms ,"Badenerstrasse 843, 8048 Zürich"
" CHF 5,770.– / month",154m² living space ,5.5 rooms ,"St. Urbangasse 8, 8001 Zürich"
" CHF 8,000.– / month",290m² living space ,11.5 rooms ,"Scheideggstrasse 70, 8002 Zürich"
" CHF 3,820.– / month",181m² living space ,6 rooms ,"Albisstrasse 10, 8038 Zürich"
" CHF 3,960.– / month",90m² living space ,3.5 rooms ,"Russenweg 6a, 8008 Zürich"
" CHF 7,710.– / month",190m² living space ,7.5 rooms ,"Drusbergstrasse 65, 8053 Zürich"
" CHF 5,270.– / month",160m² living space ,5 rooms ,"Hadlaubstrasse 26, 8044 Zürich"
" CHF 5,900.– / month",175m² living space ,3 rooms ,"Hohlstrasse 212, 8004 Zürich"
" CHF 5,020.– / month",145m² living space ,4.5 rooms ,"Bellariastrasse 11, 8002 Zürich"
" CHF 3,390.– / month",99m² living space ,3 rooms ,"Wildbachstrasse 60, 8008 Zürich"
" CHF 4,280.– / month",175m² living space ,5.5 rooms ,"Tuchmacherstrasse 34, 8041 Zürich"
" CHF 7,350.– / month",240m² living space ,7.5 rooms ,"Mühlebachstrasse 72, 8008 Zürich"
" CHF 1,890.– / month",54m² living space ,2 rooms ,"Universitätstr. 73, 8006 Zürich"
" CHF 2,970.– / month",113m² living space ,5 rooms ,"Speerstrasse 47, 8038 Zürich"
" CHF 6,830.– / month",190m² living space ,5.5 rooms ,"Limmatstrasse 258, 8005 Zürich"
" CHF 9,050.– / month",240m² living space ,10 rooms ,"Bergstrasse 76, 8032 Zürich"
" CHF 7,120.– / month",180m² living space ,9 rooms ,"Neptunstrasse 88, 8032 Zürich"
" CHF 2,850.– / month",113m² living space ,5 rooms ,"Ziegelstrasse 20, 8038 Zürich"
" CHF 3,110.– / month",111m² living space ,4.5 rooms ,"Vulkanstrasse 110c, 8048 Zürich"
" CHF 4,720.– / month",151m² living space ,5.5 rooms ,"Schöneggstrasse 15, 8004 Zürich"
" CHF 5,910.– / month",181m² living space ,5.5 rooms ,"Seestrasse 293, 8038 Zürich"
" CHF 2,480.– / month",103m² living space ,4.5 rooms ,"Heerenschürlistrasse 6, 8051 Zürich"
" CHF 3,780.– / month",130m² living space ,4.5 rooms ,"Salerstrasse 23/Tramstrasse 18, 8050 Zürich"
" CHF 12,170.– / month",270m² living space ,7.5 rooms ,"Freiestrasse 182A, 8032 Zürich"
" CHF 3,260.– / month",115m² living space ,4.5 rooms ,"Restelbergstrasse 83, 8044 Zürich"
" CHF 3,240.– / month",128m² living space ,5 rooms ,"Hardaustrasse 21, 8003 Zürich"
" CHF 5,300.– / month",187m² living space ,4.5 rooms ,"Zurlindenstrasse 111, 8003 Zürich"
" CHF 8,530.– / month",190m² living space ,8.5 rooms ,"Volkmarstrasse 4, 8006 Zürich"
" CHF 4,490.– / month",145m² living space ,5.5 rooms ,"Triemlistrasse 153, 8047 Zürich"
" CHF 3,680.– / month",141m² living space ,5.5 rooms ,"Im Glockenacker 59, 8053 Zürich"
" CHF 6,930.– / month",160m² living space ,6 rooms ,"Landoltstrasse 3, 8006 Zürich"
" CHF 5,300.– / month",185m² living space ,4.5 rooms ,"Zurlindenstrasse 111, 8003 Zürich"
" CHF 6,320.– / month",170m² living space ,4.5 rooms ,"Klausstrasse 23, 8008 Zürich"
" CHF 3,210.– / month",134m² living space ,5 rooms ,"Renggerstrasse 57, 8038 Zürich"
" CHF 7,400.– / month",140m² living space ,6 rooms ,"Gladbachstrasse 43, 8044 Zürich"
" CHF 9,130.– / month",160m² living space ,5.5 rooms ,"Zollikerstrasse 147, 8008 Zürich"
" CHF 10,940.– / month",230m² living space ,7.5 rooms ,"Stadelhoferstrasse 38, 8001 Zürich"
" CHF 2,400.– / month",46m² living space ,3.5 rooms ,"Herrligweg 9, 8048 Zürich"
" CHF 9,720.– / month",140m² living space ,8 rooms ,"Clausiusstrasse 60, 8006 Zürich"
" CHF 4,120.– / month",179m² living space ,7.5 rooms ,"Dennlerstr. 24, 8047 Zürich"
" CHF 3,200.– / month",156m² living space ,5.5 rooms ,"Dennlerstr. 22, 8047 Zürich"
" CHF 3,650.– / month",166m² living space ,5.5 rooms ,"Dennlerstr. 22, 8047 Zürich"
" CHF 4,380.– / month",156m² living space ,5 rooms ,"Bederstrasse 82, 8002 Zürich"
" CHF 11,130.– / month",240m² living space ,7.5 rooms ,8053 Zürich
" CHF 4,380.– / month",,8 rooms ,"Imbisbühlstrasse 93, 8049 Zürich"
" CHF 4,030.– / month",137m² living space ,4.5 rooms ,"Gustav Gull Platz 11, 8004 Zürich"
" CHF 4,820.– / month",143m² living space ,5 rooms ,"Weinbergstrasse 68, 8006 Zürich"
" CHF 3,980.– / month",141m² living space ,4.5 rooms ,"Rötelstrasse 6, 8006 Zürich"
" CHF 3,520.– / month",88m² living space ,3 rooms ,"Grubenackerstrasse 71, 8052 Zürich"
" CHF 6,420.– / month",140m² living space ,8 rooms ,"Kinkelstrasse 40, 8006 Zürich"
" CHF 12,370.– / month",290m² living space ,10.5 rooms ,8001 Zürich
" CHF 6,450.– / month",200m² living space ,7.5 rooms ,"Scheideggstrasse 59, 8002 Zürich"
" CHF 7,400.– / month",160m² living space ,7.5 rooms ,"Aemtlerstrasse 74, 8003 Zurich"
" CHF 4,690.– / month",140m² living space ,5.5 rooms ,"Kalkbreitestr. 115, 8003 Zürich"
